LDA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
0,0.02952029520295203,0.025830258302583026,0.04797047970479705,0.08856088560885608,0.04059040590405904,0.01107011070110701,0.02214022140221402,0.007380073800738007,0.0,0.014760147601476014,0.007380073800738007,0.014760147601476014,0.01107011070110701,0.01107011070110701,0.09225092250922509,0.007380073800738007,0.007380073800738007,0.007380073800738007,0.007380073800738007,0.025830258302583026,0.01107011070110701,0.0036900369003690036,0.0,0.0036900369003690036,0.0,0.0,0.0036900369003690036,0.007380073800738007,0.0,0.0,0.0036900369003690036,0.0036900369003690036,0.0,0.0,0.0,0.0,0.25461254612546125,0.0036900369003690036,0.033210332103321034,0.0,0.0,0.0036900369003690036,0.0,0.0036900369003690036,0.007380073800738007,0.0036900369003690036,0.0036900369003690036,0.0,0.0036900369003690036,0.0,0.007380073800738007,0.0,0.0,0.0,0.01107011070110701,0.02214022140221402,0.0,0.01107011070110701,0.0,0.01845018450184502,0.0036900369003690036,0.0,0.0,0.0,0.007380073800738007,0.0,0.0,0.0036900369003690036,0.007380073800738007,0.0,0.0,0.0,0.0,0.0036900369003690036,0.0,0.0,0.0036900369003690036,0.0,0.0,0.0036900369003690036,0.0036900369003690036,0.0036900369003690036,0.0,0.033210332103321034,0.0,0.0,0.0,0.0,0.0,0.0036900369003690036,0.01107011070110701,0.007380073800738007,0.0,0.0
1,0.0034482758620689655,0.006896551724137931,0.0034482758620689655,0.010344827586206896,0.013793103448275862,0.0034482758620689655,0.027586206896551724,0.027586206896551724,0.0,0.010344827586206896,0.0,0.034482758620689655,0.0034482758620689655,0.041379310344827586,0.006896551724137931,0.013793103448275862,0.0,0.006896551724137931,0.006896551724137931,0.010344827586206896,0.0,0.010344827586206896,0.041379310344827586,0.006896551724137931,0.020689655172413793,0.0034482758620689655,0.010344827586206896,0.013793103448275862,0.017241379310344827,0.0,0.0034482758620689655,0.0,0.0,0.0,0.0034482758620689655,0.0034482758620689655,0.0,0.0034482758620689655,0.010344827586206896,0.0,0.010344827586206896,0.0,0.0034482758620689655,0.0,0.006896551724137931,0.006896551724137931,0.0034482758620689655,0.0034482758620689655,0.010344827586206896,0.02413793103448276,0.0034482758620689655,0.0034482758620689655,0.0,0.0,0.0,0.05862068965517241,0.0,0.010344827586206896,0.0,0.0,0.2689655172413793,0.006896551724137931,0.0034482758620689655,0.0,0.0,0.0034482758620689655,0.0034482758620689655,0.03793103448275862,0.013793103448275862,0.0,0.0034482758620689655,0.0,0.0,0.0,0.04482758620689655,0.0,0.010344827586206896,0.0,0.0,0.0,0.0034482758620689655,0.010344827586206896,0.0,0.0034482758620689655,0.0,0.0034482758620689655,0.0,0.03103448275862069,0.0,0.0034482758620689655,0.0,0.013793103448275862,0.0,0.010344827586206896
2,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.06153846153846154,0.023076923076923078,0.011538461538461539,0.026923076923076925,0.0038461538461538464,0.011538461538461539,0.0038461538461538464,0.03076923076923077,0.0038461538461538464,0.0038461538461538464,0.011538461538461539,0.0038461538461538464,0.0,0.0038461538461538464,0.0038461538461538464,0.07307692307692308,0.0038461538461538464,0.007692307692307693,0.0038461538461538464,0.007692307692307693,0.0038461538461538464,0.0,0.015384615384615385,0.011538461538461539,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0038461538461538464,0.0,0.0038461538461538464,0.0,0.15,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0038461538461538464,0.08461538461538462,0.0,0.007692307692307693,0.0038461538461538464,0.0,0.0,0.0038461538461538464,0.0,0.06923076923076923,0.0038461538461538464,0.0038461538461538464,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0038461538461538464,0.0038461538461538464,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0,0.04230769230769231,0.0,0.04230769230769231,0.0,0.0,0.0038461538461538464,0.0,0.0038461538461538464,0.0038461538461538464,0.0,0.0,0.03461538461538462,0.007692307692307693,0.06153846153846154,0.0,0.026923076923076925,0.0,0.0,0.0038461538461538464,0.011538461538461539
3,0.08450704225352113,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.1267605633802817,0.0,0.014084507042253521,0.0,0.0,0.23943661971830985,0.0,0.014084507042253521,0.0,0.056338028169014086,0.0,0.028169014084507043,0.056338028169014086,0.028169014084507043,0.014084507042253521,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.07042253521126761,0.028169014084507043,0.0,0.0,0.014084507042253521,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.014084507042253521,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.015151515151515152,0.015151515151515152,0.007575757575757576,0.06060606060606061,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.030303030303030304,0.007575757575757576,0.007575757575757576,0.015151515151515152,0.030303030303030304,0.007575757575757576,0.022727272727272728,0.022727272727272728,0.0,0.007575757575757576,0.007575757575757576,0.06060606060606061,0.05303030303030303,0.007575757575757576,0.0,0.015151515151515152,0.015151515151515152,0.0,0.045454545454545456,0.007575757575757576,0.030303030303030304,0.0,0.0,0.007575757575757576,0.0,0.0,0.06818181818181818,0.03787878787878788,0.007575757575757576,0.0,0.007575757575757576,0.0,0.030303030303030304,0.03787878787878788,0.07575757575757576,0.0,0.022727272727272728,0.0,0.0,0.007575757575757576,0.022727272727272728,0.0,0.007575757575757576,0.015151515151515152,0.007575757575757576,0.007575757575757576,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.007575757575757576,0.015151515151515152,0.007575757575757576,0.0,0.007575757575757576,0.007575757575757576,0.0,0.0,0.007575757575757576,0.0,0.007575757575757576,0.0,0.0,0.015151515151515152,0.007575757575757576,0.0,0.007575757575757576,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.018018018018018018,0.02702702702702703,0.05405405405405406,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.0,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.0,0.02702702702702703,0.08108108108108109,0.009009009009009009,0.0,0.02702702702702703,0.009009009009009009,0.009009009009009009,0.018018018018018018,0.0,0.34234234234234234,0.009009009009009009,0.0,0.009009009009009009,0.018018018018018018,0.0,0.009009009009009009,0.009009009009009009,0.0,0.0,0.009009009009009009,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.009009009009009009,0.009009009009009009,0.0,0.0,0.009009009009009009,0.018018018018018018,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,0.009009009009009009,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0
6,0.042735042735042736,0.008547008547008548,0.008547008547008548,0.017094017094017096,0.1282051282051282,0.02564102564102564,0.07692307692307693,0.008547008547008548,0.05128205128205128,0.017094017094017096,0.0,0.017094017094017096,0.017094017094017096,0.008547008547008548,0.03418803418803419,0.02564102564102564,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.05982905982905983,0.042735042735042736,0.0,0.0,0.008547008547008548,0.008547008547008548,0.042735042735042736,0.0,0.008547008547008548,0.008547008547008548,0.0,0.017094017094017096,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.008547008547008548,0.008547008547008548,0.1111111111111111,0.0,0.008547008547008548,0.008547008547008548,0.017094017094017096,0.0,0.0,0.0,0.0,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008547008547008548,0.0,0.017094017094017096,0.0,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.008547008547008548,0.008547008547008548,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.008547008547008548,0.0,0.0
7,0.012605042016806723,0.004201680672268907,0.01680672268907563,0.7100840336134454,0.004201680672268907,0.004201680672268907,0.004201680672268907,0.0,0.004201680672268907,0.0,0.004201680672268907,0.008403361344537815,0.004201680672268907,0.004201680672268907,0.025210084033613446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03361344537815126,0.008403361344537815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02100840336134454,0.0,0.0,0.004201680672268907,0.004201680672268907,0.0,0.004201680672268907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004201680672268907,0.0,0.0,0.0,0.0,0.004201680672268907,0.0,0.0,0.004201680672268907,0.0,0.004201680672268907,0.0,0.0,0.0,0.0,0.0,0.07983193277310924,0.004201680672268907,0.0,0.008403361344537815,0.004201680672268907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004201680672268907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.03474903474903475,0.015444015444015444,0.007722007722007722,0.023166023166023165,0.138996138996139,0.003861003861003861,0.02702702702702703,0.03861003861003861,0.003861003861003861,0.0,0.0,0.05791505791505792,0.003861003861003861,0.007722007722007722,0.02702702702702703,0.015444015444015444,0.003861003861003861,0.023166023166023165,0.023166023166023165,0.019305019305019305,0.015444015444015444,0.0,0.015444015444015444,0.10810810810810811,0.0,0.007722007722007722,0.0,0.03474903474903475,0.007722007722007722,0.0,0.015444015444015444,0.023166023166023165,0.0,0.0,0.019305019305019305,0.0,0.003861003861003861,0.011583011583011582,0.0,0.007722007722007722,0.0,0.0,0.0,0.0,0.0,0.011583011583011582,0.0,0.0,0.0,0.011583011583011582,0.0,0.0,0.007722007722007722,0.0,0.003861003861003861,0.0,0.0,0.003861003861003861,0.003861003861003861,0.011583011583011582,0.0,0.011583011583011582,0.003861003861003861,0.011583011583011582,0.011583011583011582,0.0,0.007722007722007722,0.007722007722007722,0.0,0.007722007722007722,0.011583011583011582,0.0,0.0,0.0,0.007722007722007722,0.0,0.007722007722007722,0.003861003861003861,0.03474903474903475,0.003861003861003861,0.003861003861003861,0.003861003861003861,0.0,0.02702702702702703,0.0,0.0,0.0,0.003861003861003861,0.0,0.0,0.003861003861003861,0.023166023166023165,0.0,0.003861003861003861
9,0.024282560706401765,0.004415011037527594,0.0,0.01545253863134658,0.011037527593818985,0.011037527593818985,0.004415011037527594,0.03532008830022075,0.052980132450331126,0.011037527593818985,0.002207505518763797,0.002207505518763797,0.002207505518763797,0.019867549668874173,0.04856512141280353,0.013245033112582781,0.004415011037527594,0.006622516556291391,0.006622516556291391,0.05077262693156733,0.002207505518763797,0.004415011037527594,0.006622516556291391,0.011037527593818985,0.39072847682119205,0.004415011037527594,0.002207505518763797,0.01545253863134658,0.004415011037527594,0.0,0.004415011037527594,0.004415011037527594,0.0,0.004415011037527594,0.004415011037527594,0.0,0.011037527593818985,0.008830022075055188,0.019867549668874173,0.002207505518763797,0.019867549668874173,0.002207505518763797,0.006622516556291391,0.002207505518763797,0.004415011037527594,0.004415011037527594,0.006622516556291391,0.0,0.002207505518763797,0.006622516556291391,0.0,0.0,0.004415011037527594,0.0,0.0,0.0,0.0,0.0,0.0,0.002207505518763797,0.0,0.0,0.002207505518763797,0.002207505518763797,0.0,0.002207505518763797,0.0,0.002207505518763797,0.006622516556291391,0.04415011037527594,0.0,0.0,0.002207505518763797,0.0,0.004415011037527594,0.002207505518763797,0.0,0.002207505518763797,0.002207505518763797,0.0,0.008830022075055188,0.0,0.0,0.002207505518763797,0.0,0.0,0.008830022075055188,0.0,0.0,0.002207505518763797,0.002207505518763797,0.006622516556291391,0.0,0.006622516556291391
10,0.038461538461538464,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.038461538461538464,0.05,0.011538461538461539,0.05384615384615385,0.0038461538461538464,0.0038461538461538464,0.007692307692307693,0.007692307692307693,0.0,0.0038461538461538464,0.0038461538461538464,0.007692307692307693,0.0038461538461538464,0.015384615384615385,0.019230769230769232,0.011538461538461539,0.023076923076923078,0.007692307692307693,0.07307692307692308,0.0038461538461538464,0.007692307692307693,0.019230769230769232,0.011538461538461539,0.0038461538461538464,0.1076923076923077,0.0,0.04230769230769231,0.0038461538461538464,0.0,0.0038461538461538464,0.007692307692307693,0.0,0.0,0.007692307692307693,0.0038461538461538464,0.0038461538461538464,0.019230769230769232,0.0038461538461538464,0.019230769230769232,0.0038461538461538464,0.007692307692307693,0.0038461538461538464,0.0038461538461538464,0.0,0.015384615384615385,0.011538461538461539,0.046153846153846156,0.019230769230769232,0.007692307692307693,0.0,0.0,0.007692307692307693,0.0038461538461538464,0.023076923076923078,0.0,0.011538461538461539,0.007692307692307693,0.0038461538461538464,0.007692307692307693,0.0,0.011538461538461539,0.0,0.007692307692307693,0.0,0.0,0.0,0.007692307692307693,0.0,0.0,0.0,0.019230769230769232,0.011538461538461539,0.011538461538461539,0.0038461538461538464,0.0,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0,0.0,0.0038461538461538464,0.007692307692307693,0.0038461538461538464,0.0038461538461538464,0.0,0.007692307692307693,0.0,0.011538461538461539,0.0038461538461538464,0.011538461538461539
11,0.05058365758754864,0.06614785992217899,0.0038910505836575876,0.054474708171206226,0.03501945525291829,0.06614785992217899,0.07003891050583658,0.0311284046692607,0.0,0.027237354085603113,0.007782101167315175,0.054474708171206226,0.0038910505836575876,0.011673151750972763,0.007782101167315175,0.0,0.01556420233463035,0.042801556420233464,0.0038910505836575876,0.007782101167315175,0.007782101167315175,0.019455252918287938,0.019455252918287938,0.054474708171206226,0.0,0.007782101167315175,0.023346303501945526,0.0,0.0038910505836575876,0.0,0.027237354085603113,0.011673151750972763,0.0,0.0,0.007782101167315175,0.0,0.01556420233463035,0.01556420233463035,0.007782101167315175,0.007782101167315175,0.0,0.0,0.0,0.0,0.0038910505836575876,0.0,0.011673151750972763,0.0,0.007782101167315175,0.007782101167315175,0.0,0.01556420233463035,0.0038910505836575876,0.0,0.019455252918287938,0.011673151750972763,0.0,0.0038910505836575876,0.007782101167315175,0.011673151750972763,0.0,0.0,0.0,0.0038910505836575876,0.023346303501945526,0.0,0.0,0.0,0.0,0.0038910505836575876,0.0,0.0,0.007782101167315175,0.007782101167315175,0.0,0.0038910505836575876,0.0038910505836575876,0.0,0.007782101167315175,0.0,0.0038910505836575876,0.011673151750972763,0.0,0.0038910505836575876,0.0,0.007782101167315175,0.0,0.0,0.0,0.0,0.0038910505836575876,0.007782101167315175,0.0038910505836575876,0.0
12,0.08018867924528301,0.03773584905660377,0.009433962264150943,0.0047169811320754715,0.0330188679245283,0.04245283018867924,0.04245283018867924,0.02358490566037736,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.0,0.018867924528301886,0.009433962264150943,0.014150943396226415,0.0047169811320754715,0.018867924528301886,0.04245283018867924,0.0047169811320754715,0.009433962264150943,0.009433962264150943,0.0047169811320754715,0.0,0.07075471698113207,0.0,0.014150943396226415,0.0047169811320754715,0.0047169811320754715,0.0047169811320754715,0.0,0.0047169811320754715,0.25,0.0,0.009433962264150943,0.0047169811320754715,0.0,0.0,0.009433962264150943,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0,0.009433962264150943,0.0047169811320754715,0.009433962264150943,0.018867924528301886,0.0,0.009433962264150943,0.009433962264150943,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.014150943396226415,0.0,0.0,0.0,0.0047169811320754715,0.0047169811320754715,0.02358490566037736,0.0047169811320754715,0.0,0.0047169811320754715,0.0047169811320754715,0.0,0.0,0.0,0.0,0.0047169811320754715,0.0047169811320754715,0.014150943396226415,0.0047169811320754715,0.0,0.0047169811320754715,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0
13,0.0033112582781456954,0.009933774834437087,0.029801324503311258,0.016556291390728478,0.009933774834437087,0.0033112582781456954,0.006622516556291391,0.023178807947019868,0.006622516556291391,0.0033112582781456954,0.0,0.08278145695364239,0.0033112582781456954,0.0033112582781456954,0.0033112582781456954,0.0,0.0033112582781456954,0.11589403973509933,0.0,0.006622516556291391,0.0033112582781456954,0.009933774834437087,0.006622516556291391,0.023178807947019868,0.0,0.0,0.13245033112582782,0.0,0.0,0.0,0.03642384105960265,0.1456953642384106,0.0,0.0,0.0,0.0,0.016556291390728478,0.0033112582781456954,0.006622516556291391,0.0033112582781456954,0.0,0.0033112582781456954,0.009933774834437087,0.0,0.0,0.0,0.0,0.16556291390728478,0.0,0.0,0.006622516556291391,0.0,0.0,0.0,0.0033112582781456954,0.0,0.0033112582781456954,0.0,0.023178807947019868,0.0,0.0,0.0033112582781456954,0.0033112582781456954,0.019867549668874173,0.0033112582781456954,0.0033112582781456954,0.0,0.006622516556291391,0.0033112582781456954,0.0033112582781456954,0.0,0.0,0.0,0.0,0.0,0.0033112582781456954,0.0,0.0033112582781456954,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0033112582781456954,0.0033112582781456954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.06097560975609756,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.036585365853658534,0.012195121951219513,0.17073170731707318,0.024390243902439025,0.012195121951219513,0.012195121951219513,0.0,0.012195121951219513,0.012195121951219513,0.0,0.012195121951219513,0.0,0.036585365853658534,0.0,0.024390243902439025,0.04878048780487805,0.0,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.0,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.06097560975609756,0.012195121951219513,0.0,0.024390243902439025,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.012195121951219513,0.0,0.0,0.012195121951219513,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.04231311706629055,0.01692524682651622,0.021156558533145273,0.06770098730606489,0.047954866008462625,0.029619181946403384,0.022566995768688293,0.012693935119887164,0.004231311706629055,0.007052186177715092,0.028208744710860368,0.009873060648801129,0.0380818053596615,0.023977433004231313,0.011283497884344146,0.004231311706629055,0.02538787023977433,0.023977433004231313,0.021156558533145273,0.005641748942172073,0.045133991537376586,0.0028208744710860366,0.03244005641748942,0.005641748942172073,0.0028208744710860366,0.031029619181946404,0.0028208744710860366,0.007052186177715092,0.015514809590973202,0.0,0.007052186177715092,0.0014104372355430183,0.0,0.00846262341325811,0.02538787023977433,0.0,0.0014104372355430183,0.011283497884344146,0.009873060648801129,0.029619181946403384,0.014104372355430184,0.01692524682651622,0.0028208744710860366,0.039492242595204514,0.014104372355430184,0.007052186177715092,0.0028208744710860366,0.005641748942172073,0.0028208744710860366,0.0,0.009873060648801129,0.00846262341325811,0.023977433004231313,0.0,0.01692524682651622,0.0028208744710860366,0.0014104372355430183,0.004231311706629055,0.004231311706629055,0.011283497884344146,0.0,0.0028208744710860366,0.0,0.005641748942172073,0.011283497884344146,0.0,0.0014104372355430183,0.011283497884344146,0.0,0.0028208744710860366,0.009873060648801129,0.0,0.0014104372355430183,0.0,0.0014104372355430183,0.004231311706629055,0.004231311706629055,0.0028208744710860366,0.0028208744710860366,0.005641748942172073,0.014104372355430184,0.004231311706629055,0.0,0.0028208744710860366,0.0028208744710860366,0.0,0.0014104372355430183,0.0,0.0,0.0014104372355430183,0.011283497884344146,0.0014104372355430183,0.0,0.0
16,0.01384083044982699,0.006920415224913495,0.010380622837370242,0.01384083044982699,0.020761245674740483,0.006920415224913495,0.0,0.010380622837370242,0.020761245674740483,0.0034602076124567475,0.03460207612456748,0.01384083044982699,0.006920415224913495,0.0,0.010380622837370242,0.2768166089965398,0.0,0.0034602076124567475,0.01384083044982699,0.03806228373702422,0.01384083044982699,0.006920415224913495,0.01384083044982699,0.01730103806228374,0.0034602076124567475,0.006920415224913495,0.006920415224913495,0.010380622837370242,0.2491349480968858,0.0,0.0,0.0034602076124567475,0.0,0.0034602076124567475,0.0034602076124567475,0.0,0.0,0.01730103806228374,0.006920415224913495,0.006920415224913495,0.02422145328719723,0.0,0.0034602076124567475,0.010380622837370242,0.0034602076124567475,0.0034602076124567475,0.0,0.0034602076124567475,0.0,0.01384083044982699,0.0,0.0,0.0034602076124567475,0.0,0.0,0.0,0.0,0.0034602076124567475,0.0,0.0034602076124567475,0.0,0.0034602076124567475,0.0,0.0,0.006920415224913495,0.0,0.006920415224913495,0.0,0.0034602076124567475,0.0,0.0,0.0,0.0,0.0034602076124567475,0.0,0.0,0.0,0.006920415224913495,0.0,0.0,0.0,0.0034602076124567475,0.0,0.0,0.006920415224913495,0.0,0.0,0.0034602076124567475,0.0,0.0034602076124567475,0.0,0.0034602076124567475,0.0,0.0
